run_id,learning_rate,sigma,final_step,best_hawaii_loss,final_hawaii_loss,best_biorepo_loss,final_biorepo_loss,best_hawaii_point_err_cm,final_hawaii_point_err_cm,best_biorepo_point_err_cm,final_biorepo_point_err_cm,best_hawaii_line_err_cm,final_hawaii_line_err_cm,best_biorepo_line_err_cm,final_biorepo_line_err_cm
bxpt5sl6,0.0003,1,82800,6.82029914855957,6.913523197174072,8.477497100830078,9.059562683105469,0.01278858631849289,0.013037807308137417,0.04959529638290405,0.06652752310037613,0.005713833495974541,0.006543942727148533,0.031608130782842636,0.051802512258291245
6z90kpvj,0.001,1,72800,6.7706522941589355,6.8141303062438965,8.29782485961914,9.128698348999023,0.012990713119506836,0.012990713119506836,0.047184236347675323,0.06568645685911179,0.0061345892027020454,0.007229030132293701,0.03324509412050247,0.058479975908994675
a90xi2z8,0.003,1,78000,6.849923610687256,6.913773059844971,8.909043312072754,10.070915222167969,0.013245241716504097,0.01366066001355648,0.10020538419485092,0.12537476420402527,0.005705665331333876,0.007219450082629919,0.027627453207969666,0.05025529861450195
gfeargab,0.01,1,81200,6.785367488861084,6.908868789672852,9.137571334838867,10.053363800048828,0.012710701674222946,0.012927633710205555,0.09055861085653305,0.11646987497806549,0.005802720785140991,0.0068597872741520405,0.02575100213289261,0.03270287439227104
1cnoccyz,0.03,1,81000,6.795665740966797,6.856578826904297,8.67050552368164,9.75556468963623,0.012226369231939316,0.012512437999248505,0.05722799897193909,0.08471881598234177,0.005412106867879629,0.006657488644123077,0.021982917562127113,0.03150693699717522
pd1q0ynb,0.1,1,84200,6.876772880554199,6.9481024742126465,9.575963973999023,11.718820571899414,0.01297846995294094,0.01320398785173893,0.10108762234449387,0.15575769543647766,0.005715938284993172,0.006628595292568207,0.02187363989651203,0.022705409675836563
epq96utq,0.3,1,83000,6.901354789733887,6.943892002105713,9.497408866882324,22.13681983947754,0.01404406689107418,0.0144346309825778,0.11349818855524063,0.1486131101846695,0.005604250822216272,0.006650026421993971,0.02323860116302967,0.026397038251161575
vsaq42lr,1.0,1,76800,7.507319450378418,16.63553237915039,8.946662902832031,16.635530471801758,0.018614115193486214,0.16099227964878082,0.059291038662195206,0.39969879388809204,0.009333527646958828,0.31072932481765747,0.03231623396277428,0.7997840642929077
lr9dtfpz,3.0,1,78200,7.502978324890137,16.635530471801758,8.71336555480957,16.635530471801758,0.019209980964660645,0.16260720789432526,0.04617050290107727,0.39969879388809204,0.009545207023620605,0.3108665347099304,0.02753896266222,0.7997840642929077
wxhwt9fz,0.0003,2,79200,9.047544479370117,9.127144813537598,9.744329452514648,9.887452125549316,0.013367393985390663,0.014361645095050335,0.04653587564826012,0.050782348960638046,0.005978561472147703,0.0064310976304113865,0.024414317682385445,0.025957822799682617
yufes9ei,0.001,2,82200,9.040428161621094,9.094621658325195,9.754846572875977,10.147911071777344,0.012642627581954002,0.012979419901967049,0.04967505857348442,0.05790150165557861,0.005781957879662514,0.006404590327292681,0.02780180610716343,0.03319908306002617
1igrgdmb,0.003,2,82000,9.029403686523438,9.132834434509277,9.74809455871582,9.813268661499023,0.013293081894516945,0.014405005611479282,0.04115017130970955,0.04352050647139549,0.006058173719793558,0.00785560067743063,0.0267342422157526,0.030231665819883347
cqlmxhs5,0.01,2,81600,8.978583335876465,8.99194622039795,9.823080062866211,10.137235641479492,0.012407303787767887,0.012640311382710934,0.04342624917626381,0.05091534182429314,0.006388786248862743,0.006662978790700436,0.025706732645630836,0.02814980037510395
lkryzrbi,0.03,2,81600,9.032508850097656,9.045486450195312,10.629365921020508,11.286005973815918,0.013321507722139359,0.014370659366250038,0.1048465296626091,0.13730403780937195,0.006400365848094225,0.00671972194686532,0.024110622704029083,0.025587862357497215
tcnglywf,0.1,2,83600,9.097225189208984,9.149861335754395,9.856042861938477,10.120931625366211,0.013890496455132961,0.014018367975950241,0.045187607407569885,0.0521278902888298,0.005892572458833456,0.006311238277703524,0.023070696741342545,0.024841828271746635
niyvdzd7,0.0003,3,80800,10.436090469360352,10.473689079284668,10.896513938903809,10.985946655273438,0.013236266560852528,0.013458066619932652,0.049626674503088,0.057491887360811234,0.0069834706373512745,0.008191049098968506,0.02863481640815735,0.032251931726932526
kms26zzs,0.001,3,82000,10.446660041809082,10.482730865478516,10.777239799499512,10.88665771484375,0.013896622695028782,0.01445735152810812,0.04269793629646301,0.04702993482351303,0.007284773979336023,0.009143502451479435,0.026660175994038582,0.027278084307909012
mwppeb4d,0.003,3,81400,10.39694881439209,10.4304838180542,10.729893684387207,10.789545059204102,0.012626346200704575,0.013472401537001133,0.03787288814783096,0.043172869831323624,0.0069274562411010265,0.008735072799026966,0.027570823207497597,0.030872773379087448
ez48qfu4,0.01,3,77800,10.445549011230469,10.461585998535156,10.758880615234375,10.8388032913208,0.014074945822358131,0.014823771081864834,0.03716010972857475,0.04088114574551582,0.006975754629820585,0.008611490949988365,0.02758174203336239,0.02878221683204174
uoh6jyvl,0.03,3,78200,10.415042877197266,10.449202537536621,10.845748901367188,11.580196380615234,0.013709108345210552,0.013984818011522293,0.03923013433814049,0.05686178803443909,0.007715686224400997,0.008346972987055779,0.026853587478399277,0.028152061626315117
fivafblx,0.1,3,79200,10.446561813354492,10.549178123474121,11.24154281616211,11.494104385375977,0.013814397156238556,0.016508080065250397,0.08557438105344772,0.10545928031206131,0.007437360938638449,0.008785443380475044,0.02794775180518627,0.031512122601270676
